|dates|Tipton_Indiana_UnitedStates.JHU_ConfirmedCases.data|Tipton_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Tipton_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Tipton_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Tipton_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Tipton_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|24.0|0|1.0|0|0.0|0
0|2020-05-28|24.0|0|1.0|0|0.0|0
0|2020-05-29|24.0|0|1.0|0|0.0|0
0|2020-05-30|24.0|0|1.0|0|0.0|0
