|dates|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|286.0|0|32.0|0|0.0|0
0|2020-05-18|290.0|0|34.0|0|0.0|0
0|2020-05-19|293.0|0|34.0|0|0.0|0
0|2020-05-20|290.0|0|35.0|0|0.0|0
0|2020-05-21|290.0|0|36.0|0|0.0|0
0|2020-05-22|289.0|0|36.0|0|0.0|0
0|2020-05-23|289.0|0|36.0|0|0.0|0
