|dates|Wasatch_Utah_UnitedStates.JHU_ConfirmedCases.data|Wasatch_Utah_UnitedStates.JHU_ConfirmedCases.missing|Wasatch_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Wasatch_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Wasatch_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Wasatch_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|202.0|0|1.0|0|0.0|0
0|2020-05-18|203.0|0|1.0|0|0.0|0
0|2020-05-19|212.0|0|1.0|0|0.0|0
0|2020-05-20|217.0|0|1.0|0|0.0|0
0|2020-05-21|222.0|0|1.0|0|0.0|0
0|2020-05-22|228.0|0|1.0|0|0.0|0
0|2020-05-23|228.0|0|1.0|0|0.0|0
