|dates|Daviess_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Daviess_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Daviess_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Daviess_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Daviess_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Daviess_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|312.0|0|6.0|0|0.0|0
0|2020-05-28|312.0|0|6.0|0|0.0|0
0|2020-05-29|312.0|0|6.0|0|0.0|0
0|2020-05-30|312.0|0|6.0|0|0.0|0
