|dates|Lynchburg_Virginia_UnitedStates.JHU_ConfirmedCases.data|Lynchburg_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Lynchburg_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Lynchburg_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Lynchburg_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Lynchburg_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|77.0|0|1.0|0|0.0|0
0|2020-05-25|77.0|0|1.0|0|0.0|0
0|2020-05-26|77.0|0|1.0|0|0.0|0
