|dates|Hardin_Texas_UnitedStates.JHU_ConfirmedCases.data|Hardin_Texas_UnitedStates.JHU_ConfirmedCases.missing|Hardin_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Hardin_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Hardin_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Hardin_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|117.0|0|4.0|0|0.0|0
0|2020-05-18|117.0|0|4.0|0|0.0|0
0|2020-05-19|118.0|0|4.0|0|0.0|0
0|2020-05-20|121.0|0|4.0|0|0.0|0
0|2020-05-21|121.0|0|4.0|0|0.0|0
0|2020-05-22|121.0|0|4.0|0|0.0|0
0|2020-05-23|121.0|0|4.0|0|0.0|0
