|dates|Marion_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Marion_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Marion_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Marion_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Marion_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Marion_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|89.0|0|8.0|0|0.0|0
0|2020-05-18|89.0|0|8.0|0|0.0|0
0|2020-05-19|93.0|0|8.0|0|0.0|0
0|2020-05-20|97.0|0|8.0|0|0.0|0
0|2020-05-21|100.0|0|8.0|0|0.0|0
0|2020-05-22|103.0|0|8.0|0|0.0|0
0|2020-05-23|103.0|0|8.0|0|0.0|0
