|dates|Carroll_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Carroll_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Carroll_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Carroll_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Carroll_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Carroll_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|23.0|0|1.0|0|0.0|0
0|2020-05-15|24.0|0|1.0|0|0.0|0
0|2020-05-16|24.0|0|1.0|0|0.0|0
