|dates|Starke_Indiana_UnitedStates.JHU_ConfirmedCases.data|Starke_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Starke_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Starke_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Starke_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Starke_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|24.0|0|2.0|0|0.0|0
0|2020-05-15|26.0|0|2.0|0|0.0|0
0|2020-05-16|26.0|0|2.0|0|0.0|0
