|dates|McDowell_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|McDowell_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|McDowell_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|McDowell_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|McDowell_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|McDowell_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|39.0|0|1.0|0|0.0|0
0|2020-05-25|51.0|0|1.0|0|0.0|0
0|2020-05-26|51.0|0|1.0|0|0.0|0
