|dates|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|218.0|0|8.0|0|0.0|0
0|2020-05-25|218.0|0|8.0|0|0.0|0
0|2020-05-26|218.0|0|8.0|0|0.0|0
