|dates|Oconee_Georgia_UnitedStates.JHU_ConfirmedCases.data|Oconee_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Oconee_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Oconee_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Oconee_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Oconee_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|79.0|0|2.0|0|0.0|0
0|2020-05-18|80.0|0|3.0|0|0.0|0
0|2020-05-19|81.0|0|3.0|0|0.0|0
0|2020-05-20|82.0|0|3.0|0|0.0|0
0|2020-05-21|103.0|0|3.0|0|0.0|0
0|2020-05-22|103.0|0|5.0|0|0.0|0
0|2020-05-23|103.0|0|5.0|0|0.0|0
