|dates|Kent_Maryland_UnitedStates.JHU_ConfirmedCases.data|Kent_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Kent_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Kent_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Kent_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Kent_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|152.0|0|14.0|0|0.0|0
0|2020-05-25|155.0|0|14.0|0|0.0|0
0|2020-05-26|155.0|0|14.0|0|0.0|0
