|dates|Pike_Georgia_UnitedStates.JHU_ConfirmedCases.data|Pike_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Pike_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Pike_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Pike_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Pike_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|44.0|0|2.0|0|0.0|0
0|2020-05-18|44.0|0|2.0|0|0.0|0
0|2020-05-19|44.0|0|2.0|0|0.0|0
0|2020-05-20|45.0|0|2.0|0|0.0|0
0|2020-05-21|45.0|0|2.0|0|0.0|0
0|2020-05-22|48.0|0|2.0|0|0.0|0
0|2020-05-23|48.0|0|2.0|0|0.0|0
