|dates|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|26.0|0|1.0|0|0.0|0
0|2020-05-18|27.0|0|1.0|0|0.0|0
0|2020-05-19|27.0|0|1.0|0|0.0|0
0|2020-05-20|28.0|0|1.0|0|0.0|0
0|2020-05-21|28.0|0|1.0|0|0.0|0
0|2020-05-22|30.0|0|2.0|0|0.0|0
0|2020-05-23|30.0|0|2.0|0|0.0|0
