|dates|Baldwin_Alabama_UnitedStates.JHU_ConfirmedCases.data|Baldwin_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Baldwin_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Baldwin_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Baldwin_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Baldwin_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|254.0|0|8.0|0|0.0|0
0|2020-05-18|260.0|0|8.0|0|0.0|0
0|2020-05-19|262.0|0|8.0|0|0.0|0
0|2020-05-20|270.0|0|8.0|0|0.0|0
0|2020-05-21|269.0|0|8.0|0|0.0|0
0|2020-05-22|271.0|0|9.0|0|0.0|0
0|2020-05-23|271.0|0|9.0|0|0.0|0
