|dates|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|3677.0|0|208.0|0|0.0|0
0|2020-05-18|3719.0|0|248.0|0|0.0|0
0|2020-05-19|3735.0|0|262.0|0|0.0|0
0|2020-05-20|3763.0|0|273.0|0|0.0|0
0|2020-05-21|3784.0|0|279.0|0|0.0|0
0|2020-05-22|3838.0|0|283.0|0|0.0|0
0|2020-05-23|3838.0|0|283.0|0|0.0|0
