|dates|Webster_Missouri_UnitedStates.JHU_ConfirmedCases.data|Webster_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Webster_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Webster_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Webster_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Webster_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|16.0|0|0.0|0|0.0|0
0|2020-05-15|16.0|0|0.0|0|0.0|0
0|2020-05-16|16.0|0|0.0|0|0.0|0
