|dates|Cass_Texas_UnitedStates.JHU_ConfirmedCases.data|Cass_Texas_UnitedStates.JHU_ConfirmedCases.missing|Cass_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Cass_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Cass_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Cass_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|21.0|0|0.0|0|0.0|0
0|2020-05-15|21.0|0|0.0|0|0.0|0
0|2020-05-16|21.0|0|0.0|0|0.0|0
