|dates|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedCases.data|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|95.0|0|1.0|0|0.0|0
0|2020-05-28|95.0|0|1.0|0|0.0|0
0|2020-05-29|95.0|0|1.0|0|0.0|0
0|2020-05-30|95.0|0|1.0|0|0.0|0
