|dates|LakeandPeninsula_Alaska_UnitedStates.JHU_ConfirmedCases.data|LakeandPeninsula_Alaska_UnitedStates.JHU_ConfirmedCases.missing|LakeandPeninsula_Alaska_UnitedStates.JHU_ConfirmedDeaths.data|LakeandPeninsula_Alaska_UnitedStates.JHU_ConfirmedDeaths.missing|LakeandPeninsula_Alaska_UnitedStates.JHU_ConfirmedRecoveries.data|LakeandPeninsula_Alaska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|373.0|0|9.0|0|0.0|0
0|2020-05-15|373.0|0|9.0|0|0.0|0
0|2020-05-16|373.0|0|9.0|0|0.0|0
