|dates|Madison_Iowa_UnitedStates.JHU_ConfirmedCases.data|Madison_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Madison_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Madison_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Madison_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Madison_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|16.0|0|1.0|0|0.0|0
0|2020-05-18|16.0|0|1.0|0|0.0|0
0|2020-05-19|16.0|0|1.0|0|0.0|0
0|2020-05-20|20.0|0|1.0|0|0.0|0
0|2020-05-21|21.0|0|1.0|0|0.0|0
0|2020-05-22|21.0|0|1.0|0|0.0|0
0|2020-05-23|21.0|0|1.0|0|0.0|0
