|dates|GrandForks_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|GrandForks_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|GrandForks_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|GrandForks_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|GrandForks_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|GrandForks_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|304.0|0|2.0|0|0.0|0
0|2020-05-15|307.0|0|3.0|0|0.0|0
0|2020-05-16|307.0|0|3.0|0|0.0|0
