|dates|Hamblen_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Hamblen_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Hamblen_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Hamblen_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Hamblen_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Hamblen_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|25.0|0|2.0|0|0.0|0
0|2020-05-18|25.0|0|2.0|0|0.0|0
0|2020-05-19|24.0|0|2.0|0|0.0|0
0|2020-05-20|24.0|0|2.0|0|0.0|0
0|2020-05-21|24.0|0|2.0|0|0.0|0
0|2020-05-22|25.0|0|2.0|0|0.0|0
0|2020-05-23|25.0|0|2.0|0|0.0|0
