|dates|SanBernardino_California_UnitedStates.JHU_ConfirmedCases.data|SanBernardino_California_UnitedStates.JHU_ConfirmedCases.missing|SanBernardino_California_UnitedStates.JHU_ConfirmedDeaths.data|SanBernardino_California_UnitedStates.JHU_ConfirmedDeaths.missing|SanBernardino_California_UnitedStates.JHU_ConfirmedRecoveries.data|SanBernardino_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|3511.0|0|155.0|0|0.0|0
0|2020-05-18|3593.0|0|155.0|0|0.0|0
0|2020-05-19|3707.0|0|157.0|0|0.0|0
0|2020-05-20|3795.0|0|158.0|0|0.0|0
0|2020-05-21|3984.0|0|164.0|0|0.0|0
0|2020-05-22|4146.0|0|173.0|0|0.0|0
0|2020-05-23|4146.0|0|173.0|0|0.0|0
