|dates|Kane_Illinois_UnitedStates.JHU_ConfirmedCases.data|Kane_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Kane_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Kane_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Kane_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Kane_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|4396.0|0|115.0|0|0.0|0
0|2020-05-18|4584.0|0|115.0|0|0.0|0
0|2020-05-19|4682.0|0|120.0|0|0.0|0
0|2020-05-20|4813.0|0|136.0|0|0.0|0
0|2020-05-21|4981.0|0|145.0|0|0.0|0
0|2020-05-22|5327.0|0|150.0|0|0.0|0
0|2020-05-23|5327.0|0|150.0|0|0.0|0
