|dates|JeffersonDavis_Louisiana_UnitedStates.JHU_ConfirmedCases.data|JeffersonDavis_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|JeffersonDavis_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|JeffersonDavis_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|JeffersonDavis_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|JeffersonDavis_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|69.0|0|6.0|0|0.0|0
0|2020-05-18|70.0|0|6.0|0|0.0|0
0|2020-05-19|71.0|0|6.0|0|0.0|0
0|2020-05-20|71.0|0|6.0|0|0.0|0
0|2020-05-21|72.0|0|6.0|0|0.0|0
0|2020-05-22|73.0|0|6.0|0|0.0|0
0|2020-05-23|73.0|0|6.0|0|0.0|0
