|dates|Taylor_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Taylor_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Taylor_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Taylor_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Taylor_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Taylor_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|9.0|0|0.0|0|0.0|0
0|2020-05-28|9.0|0|0.0|0|0.0|0
0|2020-05-29|9.0|0|0.0|0|0.0|0
0|2020-05-30|9.0|0|0.0|0|0.0|0
