|dates|Nicholas_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Nicholas_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Nicholas_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Nicholas_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Nicholas_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Nicholas_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|10.0|0|1.0|0|0.0|0
0|2020-05-28|10.0|0|1.0|0|0.0|0
0|2020-05-29|10.0|0|1.0|0|0.0|0
0|2020-05-30|10.0|0|1.0|0|0.0|0
