|dates|LewisandClark_Montana_UnitedStates.JHU_ConfirmedCases.data|LewisandClark_Montana_UnitedStates.JHU_ConfirmedCases.missing|LewisandClark_Montana_UnitedStates.JHU_ConfirmedDeaths.data|LewisandClark_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|LewisandClark_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|LewisandClark_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|16.0|0|0.0|0|0.0|0
0|2020-05-25|16.0|0|0.0|0|0.0|0
0|2020-05-26|16.0|0|0.0|0|0.0|0
