|dates|Wilson_Texas_UnitedStates.JHU_ConfirmedCases.data|Wilson_Texas_UnitedStates.JHU_ConfirmedCases.missing|Wilson_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Wilson_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Wilson_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Wilson_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|38.0|0|5.0|0|0.0|0
0|2020-05-28|38.0|0|5.0|0|0.0|0
0|2020-05-29|38.0|0|5.0|0|0.0|0
0|2020-05-30|38.0|0|5.0|0|0.0|0
