|dates|Cook_Georgia_UnitedStates.JHU_ConfirmedCases.data|Cook_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Cook_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Cook_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Cook_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Cook_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|47.0|0|2.0|0|0.0|0
0|2020-05-28|47.0|0|2.0|0|0.0|0
0|2020-05-29|47.0|0|2.0|0|0.0|0
0|2020-05-30|47.0|0|2.0|0|0.0|0
