|dates|Clay_Alabama_UnitedStates.JHU_ConfirmedCases.data|Clay_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Clay_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Clay_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Clay_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Clay_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|27.0|0|2.0|0|0.0|0
0|2020-05-25|27.0|0|2.0|0|0.0|0
0|2020-05-26|27.0|0|2.0|0|0.0|0
