|dates|Claiborne_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Claiborne_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Claiborne_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Claiborne_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Claiborne_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Claiborne_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|58.0|0|1.0|0|0.0|0
0|2020-05-25|58.0|0|2.0|0|0.0|0
0|2020-05-26|58.0|0|2.0|0|0.0|0
