|dates|Henderson_Illinois_UnitedStates.JHU_ConfirmedCases.data|Henderson_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Henderson_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Henderson_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Henderson_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Henderson_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|7.0|0|0.0|0|0.0|0
0|2020-05-15|7.0|0|0.0|0|0.0|0
0|2020-05-16|7.0|0|0.0|0|0.0|0
