|dates|Lee_Florida_UnitedStates.JHU_ConfirmedCases.data|Lee_Florida_UnitedStates.JHU_ConfirmedCases.missing|Lee_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Lee_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Lee_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Lee_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1456.0|0|78.0|0|0.0|0
0|2020-05-18|1481.0|0|89.0|0|0.0|0
0|2020-05-19|1520.0|0|89.0|0|0.0|0
0|2020-05-20|1542.0|0|89.0|0|0.0|0
0|2020-05-21|1585.0|0|88.0|0|0.0|0
0|2020-05-22|1666.0|0|92.0|0|0.0|0
0|2020-05-23|1666.0|0|92.0|0|0.0|0
