|dates|Ray_Missouri_UnitedStates.JHU_ConfirmedCases.data|Ray_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Ray_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Ray_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Ray_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Ray_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|16.0|0|0.0|0|0.0|0
0|2020-05-25|16.0|0|0.0|0|0.0|0
0|2020-05-26|16.0|0|0.0|0|0.0|0
