|dates|Clark_Ohio_UnitedStates.JHU_ConfirmedCases.data|Clark_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Clark_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Clark_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Clark_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Clark_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|139.0|0|3.0|0|0.0|0
0|2020-05-18|148.0|0|3.0|0|0.0|0
0|2020-05-19|155.0|0|4.0|0|0.0|0
0|2020-05-20|166.0|0|4.0|0|0.0|0
0|2020-05-21|178.0|0|4.0|0|0.0|0
0|2020-05-22|184.0|0|5.0|0|0.0|0
0|2020-05-23|184.0|0|5.0|0|0.0|0
