|dates|Pike_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Pike_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Pike_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Pike_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Pike_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Pike_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|454.0|0|21.0|0|0.0|0
0|2020-05-15|458.0|0|22.0|0|0.0|0
0|2020-05-16|458.0|0|22.0|0|0.0|0
