|dates|Humboldt_Nevada_UnitedStates.JHU_ConfirmedCases.data|Humboldt_Nevada_UnitedStates.JHU_ConfirmedCases.missing|Humboldt_Nevada_UnitedStates.JHU_ConfirmedDeaths.data|Humboldt_Nevada_UnitedStates.JHU_ConfirmedDeaths.missing|Humboldt_Nevada_UnitedStates.JHU_ConfirmedRecoveries.data|Humboldt_Nevada_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|78.0|0|4.0|0|0.0|0
0|2020-05-28|78.0|0|4.0|0|0.0|0
0|2020-05-29|78.0|0|4.0|0|0.0|0
0|2020-05-30|78.0|0|4.0|0|0.0|0
