|dates|Jerome_Idaho_UnitedStates.JHU_ConfirmedCases.data|Jerome_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Jerome_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Jerome_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Jerome_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Jerome_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|87.0|0|2.0|0|0.0|0
0|2020-05-15|87.0|0|2.0|0|0.0|0
0|2020-05-16|87.0|0|2.0|0|0.0|0
