|dates|Bowie_Texas_UnitedStates.JHU_ConfirmedCases.data|Bowie_Texas_UnitedStates.JHU_ConfirmedCases.missing|Bowie_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Bowie_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Bowie_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Bowie_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|133.0|0|3.0|0|0.0|0
0|2020-05-18|133.0|0|3.0|0|0.0|0
0|2020-05-19|137.0|0|5.0|0|0.0|0
0|2020-05-20|174.0|0|5.0|0|0.0|0
0|2020-05-21|176.0|0|5.0|0|0.0|0
0|2020-05-22|176.0|0|5.0|0|0.0|0
0|2020-05-23|176.0|0|5.0|0|0.0|0
