|dates|Northampton_Virginia_UnitedStates.JHU_ConfirmedCases.data|Northampton_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Northampton_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Northampton_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Northampton_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Northampton_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|184.0|0|6.0|0|0.0|0
0|2020-05-15|193.0|0|7.0|0|0.0|0
0|2020-05-16|193.0|0|7.0|0|0.0|0
