|dates|Fairfield_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Fairfield_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Fairfield_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Fairfield_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Fairfield_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Fairfield_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|96.0|0|7.0|0|0.0|0
0|2020-05-15|108.0|0|8.0|0|0.0|0
0|2020-05-16|108.0|0|8.0|0|0.0|0
