|dates|Harmon_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Harmon_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Harmon_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Harmon_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Harmon_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Harmon_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|4127.0|0|247.0|0|0.0|0
0|2020-05-28|4127.0|0|247.0|0|0.0|0
0|2020-05-29|4127.0|0|247.0|0|0.0|0
0|2020-05-30|4127.0|0|247.0|0|0.0|0
