|dates|Buchanan_Missouri_UnitedStates.JHU_ConfirmedCases.data|Buchanan_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Buchanan_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Buchanan_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Buchanan_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Buchanan_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|506.0|0|2.0|0|0.0|0
0|2020-05-18|520.0|0|2.0|0|0.0|0
0|2020-05-19|543.0|0|2.0|0|0.0|0
0|2020-05-20|562.0|0|2.0|0|0.0|0
0|2020-05-21|587.0|0|2.0|0|0.0|0
0|2020-05-22|599.0|0|2.0|0|0.0|0
0|2020-05-23|599.0|0|2.0|0|0.0|0
