|dates|Carbon_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Carbon_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Carbon_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Carbon_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Carbon_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Carbon_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|232.0|0|22.0|0|0.0|0
0|2020-05-28|232.0|0|22.0|0|0.0|0
0|2020-05-29|232.0|0|22.0|0|0.0|0
0|2020-05-30|232.0|0|22.0|0|0.0|0
