|dates|Panola_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Panola_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Panola_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Panola_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Panola_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Panola_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|50.0|0|2.0|0|0.0|0
0|2020-05-18|50.0|0|2.0|0|0.0|0
0|2020-05-19|52.0|0|2.0|0|0.0|0
0|2020-05-20|54.0|0|2.0|0|0.0|0
0|2020-05-21|58.0|0|2.0|0|0.0|0
0|2020-05-22|59.0|0|2.0|0|0.0|0
0|2020-05-23|59.0|0|2.0|0|0.0|0
