|dates|Peoria_Illinois_UnitedStates.JHU_ConfirmedCases.data|Peoria_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Peoria_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Peoria_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Peoria_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Peoria_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|188.0|0|8.0|0|0.0|0
0|2020-05-28|188.0|0|8.0|0|0.0|0
0|2020-05-29|188.0|0|8.0|0|0.0|0
0|2020-05-30|188.0|0|8.0|0|0.0|0
