|dates|ContraCosta_California_UnitedStates.JHU_ConfirmedCases.data|ContraCosta_California_UnitedStates.JHU_ConfirmedCases.missing|ContraCosta_California_UnitedStates.JHU_ConfirmedDeaths.data|ContraCosta_California_UnitedStates.JHU_ConfirmedDeaths.missing|ContraCosta_California_UnitedStates.JHU_ConfirmedRecoveries.data|ContraCosta_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1146.0|0|33.0|0|0.0|0
0|2020-05-18|1155.0|0|33.0|0|0.0|0
0|2020-05-19|1192.0|0|33.0|0|0.0|0
0|2020-05-20|1209.0|0|33.0|0|0.0|0
0|2020-05-21|1234.0|0|36.0|0|0.0|0
0|2020-05-22|1259.0|0|36.0|0|0.0|0
0|2020-05-23|1259.0|0|36.0|0|0.0|0
