|dates|Rabun_Georgia_UnitedStates.JHU_ConfirmedCases.data|Rabun_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Rabun_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Rabun_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Rabun_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Rabun_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|15.0|0|1.0|0|0.0|0
0|2020-05-25|15.0|0|1.0|0|0.0|0
0|2020-05-26|15.0|0|1.0|0|0.0|0
