|dates|Harrison_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Harrison_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Harrison_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Harrison_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Harrison_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Harrison_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|40.0|0|1.0|0|0.0|0
0|2020-05-28|40.0|0|1.0|0|0.0|0
0|2020-05-29|40.0|0|1.0|0|0.0|0
0|2020-05-30|40.0|0|1.0|0|0.0|0
