|dates|Alcona_Michigan_UnitedStates.JHU_ConfirmedCases.data|Alcona_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Alcona_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Alcona_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Alcona_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Alcona_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|5.0|0|1.0|0|0.0|0
0|2020-05-15|6.0|0|1.0|0|0.0|0
0|2020-05-16|6.0|0|1.0|0|0.0|0
