|dates|Sutter_California_UnitedStates.JHU_ConfirmedCases.data|Sutter_California_UnitedStates.JHU_ConfirmedCases.missing|Sutter_California_UnitedStates.JHU_ConfirmedDeaths.data|Sutter_California_UnitedStates.JHU_ConfirmedDeaths.missing|Sutter_California_UnitedStates.JHU_ConfirmedRecoveries.data|Sutter_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|38.0|0|2.0|0|0.0|0
0|2020-05-18|40.0|0|2.0|0|0.0|0
0|2020-05-19|40.0|0|2.0|0|0.0|0
0|2020-05-20|40.0|0|2.0|0|0.0|0
0|2020-05-21|40.0|0|2.0|0|0.0|0
0|2020-05-22|40.0|0|2.0|0|0.0|0
0|2020-05-23|40.0|0|2.0|0|0.0|0
