|dates|Clarke_Alabama_UnitedStates.JHU_ConfirmedCases.data|Clarke_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Clarke_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Clarke_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Clarke_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Clarke_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|68.0|0|2.0|0|0.0|0
0|2020-05-15|70.0|0|2.0|0|0.0|0
0|2020-05-16|70.0|0|2.0|0|0.0|0
