|dates|McHenry_Illinois_UnitedStates.JHU_ConfirmedCases.data|McHenry_Illinois_UnitedStates.JHU_ConfirmedCases.missing|McHenry_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|McHenry_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|McHenry_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|McHenry_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|1399.0|0|67.0|0|0.0|0
0|2020-05-25|1427.0|0|67.0|0|0.0|0
0|2020-05-26|1427.0|0|67.0|0|0.0|0
