|dates|Crenshaw_Alabama_UnitedStates.JHU_ConfirmedCases.data|Crenshaw_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Crenshaw_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Crenshaw_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Crenshaw_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Crenshaw_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|66.0|0|2.0|0|0.0|0
0|2020-05-28|66.0|0|2.0|0|0.0|0
0|2020-05-29|66.0|0|2.0|0|0.0|0
0|2020-05-30|66.0|0|2.0|0|0.0|0
