|dates|Lander_Nevada_UnitedStates.JHU_ConfirmedCases.data|Lander_Nevada_UnitedStates.JHU_ConfirmedCases.missing|Lander_Nevada_UnitedStates.JHU_ConfirmedDeaths.data|Lander_Nevada_UnitedStates.JHU_ConfirmedDeaths.missing|Lander_Nevada_UnitedStates.JHU_ConfirmedRecoveries.data|Lander_Nevada_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|19.0|0|0.0|0|0.0|0
0|2020-05-15|19.0|0|0.0|0|0.0|0
0|2020-05-16|19.0|0|0.0|0|0.0|0
