|dates|Colquitt_Georgia_UnitedStates.JHU_ConfirmedCases.data|Colquitt_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Colquitt_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Colquitt_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Colquitt_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Colquitt_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|241.0|0|11.0|0|0.0|0
0|2020-05-15|245.0|0|11.0|0|0.0|0
0|2020-05-16|245.0|0|11.0|0|0.0|0
