|dates|Door_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Door_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Door_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Door_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Door_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Door_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|37.0|0|3.0|0|0.0|0
0|2020-05-25|37.0|0|3.0|0|0.0|0
0|2020-05-26|37.0|0|3.0|0|0.0|0
