|dates|Navarro_Texas_UnitedStates.JHU_ConfirmedCases.data|Navarro_Texas_UnitedStates.JHU_ConfirmedCases.missing|Navarro_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Navarro_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Navarro_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Navarro_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|44.0|0|2.0|0|0.0|0
0|2020-05-25|44.0|0|2.0|0|0.0|0
0|2020-05-26|44.0|0|2.0|0|0.0|0
