|dates|Volusia_Florida_UnitedStates.JHU_ConfirmedCases.data|Volusia_Florida_UnitedStates.JHU_ConfirmedCases.missing|Volusia_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Volusia_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Volusia_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Volusia_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|683.0|0|37.0|0|0.0|0
0|2020-05-28|683.0|0|37.0|0|0.0|0
0|2020-05-29|683.0|0|37.0|0|0.0|0
0|2020-05-30|683.0|0|37.0|0|0.0|0
