|dates|Iroquois_Illinois_UnitedStates.JHU_ConfirmedCases.data|Iroquois_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Iroquois_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Iroquois_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Iroquois_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Iroquois_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|117.0|0|3.0|0|0.0|0
0|2020-05-18|118.0|0|3.0|0|0.0|0
0|2020-05-19|119.0|0|4.0|0|0.0|0
0|2020-05-20|119.0|0|4.0|0|0.0|0
0|2020-05-21|120.0|0|4.0|0|0.0|0
0|2020-05-22|124.0|0|4.0|0|0.0|0
0|2020-05-23|124.0|0|4.0|0|0.0|0
