|dates|Hardin_Ohio_UnitedStates.JHU_ConfirmedCases.data|Hardin_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Hardin_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Hardin_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Hardin_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Hardin_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|30.0|0|0.0|0|0.0|0
0|2020-05-15|29.0|0|0.0|0|0.0|0
0|2020-05-16|29.0|0|0.0|0|0.0|0
